system_id,lane,family,dimension,condition_exponent,epsilon,decimal_digits,delta_normalized_difference,U_response_normalized_difference,maximum_normalized_difference
G2H_SADDLE_POINT_LIKE_D04_C14_E7eM9,DECIMAL_SOURCE,SADDLE_POINT_LIKE,4,14,7e-9,160,3.2699824239823705E-154,1.328541538E-162,3.2699824239823705E-154
G2H_SADDLE_POINT_LIKE_D04_C14_E7eM9,BINARY64_OPERAND,SADDLE_POINT_LIKE,4,14,7e-9,160,1.7668128479109949E-153,1.0206449931E-161,1.7668128479109949E-153
G2H_SADDLE_POINT_LIKE_D08_C00_E7eM17,DECIMAL_SOURCE,SADDLE_POINT_LIKE,8,0,7e-17,160,4.79992505471324247541226724E-160,1.308713080593734442E-181,4.79992505471324247541226724E-160
G2H_SADDLE_POINT_LIKE_D08_C00_E7eM17,BINARY64_OPERAND,SADDLE_POINT_LIKE,8,0,7e-17,160,1.063169409622498776622281724E-160,6.642937962E-176,1.063169409622498776622281724E-160
G2H_SADDLE_POINT_LIKE_D08_C12_E7eM15,DECIMAL_SOURCE,SADDLE_POINT_LIKE,8,12,7e-15,160,5.92951062808068612E-155,9.8269102992E-165,5.92951062808068612E-155
G2H_SADDLE_POINT_LIKE_D08_C12_E7eM15,BINARY64_OPERAND,SADDLE_POINT_LIKE,8,12,7e-15,160,3.308538243121481706E-154,8.215402088E-164,3.308538243121481706E-154
G2H_SADDLE_POINT_LIKE_D08_C14_E7eM9,DECIMAL_SOURCE,SADDLE_POINT_LIKE,8,14,7e-9,160,1.89370993061990503E-153,1.944650305E-161,1.89370993061990503E-153
G2H_SADDLE_POINT_LIKE_D08_C14_E7eM9,BINARY64_OPERAND,SADDLE_POINT_LIKE,8,14,7e-9,160,1.73607419100972419E-153,4.24083682E-162,1.73607419100972419E-153
G2H_SADDLE_POINT_LIKE_D16_C00_E7eM17,DECIMAL_SOURCE,SADDLE_POINT_LIKE,16,0,7e-17,160,8.06079495927878126544713549E-160,1.537512920035994731E-181,8.06079495927878126544713549E-160
G2H_SADDLE_POINT_LIKE_D16_C00_E7eM17,BINARY64_OPERAND,SADDLE_POINT_LIKE,16,0,7e-17,160,1.559567847060483208917489105E-159,1.345536639E-175,1.559567847060483208917489105E-159
G2H_SADDLE_POINT_LIKE_D16_C12_E7eM15,DECIMAL_SOURCE,SADDLE_POINT_LIKE,16,12,7e-15,160,8.29220101139051293E-155,1.84494361546E-164,8.29220101139051293E-155
G2H_SADDLE_POINT_LIKE_D16_C12_E7eM15,BINARY64_OPERAND,SADDLE_POINT_LIKE,16,12,7e-15,160,2.148638161255377492E-154,7.705244157E-164,2.148638161255377492E-154
G2H_SADDLE_POINT_LIKE_D16_C14_E7eM9,DECIMAL_SOURCE,SADDLE_POINT_LIKE,16,14,7e-9,160,6.9511487791608603E-153,7.9306677628E-160,6.9511487791608603E-153
G2H_SADDLE_POINT_LIKE_D16_C14_E7eM9,BINARY64_OPERAND,SADDLE_POINT_LIKE,16,14,7e-9,160,3.53399120916742306E-153,1.39216368421E-159,3.53399120916742306E-153
G2H_SPD_D02_C00_E7eM17,DECIMAL_SOURCE,SPD,2,0,7e-17,160,3.7375458518779107740218491E-161,5.738488791929601504E-182,3.7375458518779107740218491E-161
G2H_SPD_D02_C00_E7eM17,BINARY64_OPERAND,SPD,2,0,7e-17,160,1.164951497290944959259444596858097581575534621564843257867186024114851471841630091357873428573467250056197767873791204752579111677316003669771113631664781199502E-182,3.0408152823E-176,3.0408152823E-176
G2H_SPD_D02_C12_E7eM15,DECIMAL_SOURCE,SPD,2,12,7e-15,160,3.637747571369241E-157,3.260490388E-167,3.637747571369241E-157
G2H_SPD_D02_C12_E7eM15,BINARY64_OPERAND,SPD,2,12,7e-15,160,6.40807159538713E-158,1.692441995E-164,6.40807159538713E-158
G2H_SPD_D02_C14_E7eM9,DECIMAL_SOURCE,SPD,2,14,7e-9,160,2.83401574550530819E-161,1.592674815E-163,2.83401574550530819E-161
G2H_SPD_D02_C14_E7eM9,BINARY64_OPERAND,SPD,2,14,7e-9,160,5.088370212E-161,1.7970906066E-163,5.088370212E-161
G2H_SPD_D04_C00_E7eM17,DECIMAL_SOURCE,SPD,4,0,7e-17,160,1.57084760838744859737608109E-160,9.772445907180138129E-182,1.57084760838744859737608109E-160
G2H_SPD_D04_C00_E7eM17,BINARY64_OPERAND,SPD,4,0,7e-17,160,4.153816954986904753723070128190994407031956781943330000273905722348914844041367901508376972590241810806442546055033285632933600223157063590193970828057250135599E-182,1.661272176E-176,1.661272176E-176
G2H_SPD_D04_C12_E7eM15,DECIMAL_SOURCE,SPD,4,12,7e-15,160,2.796655863012896E-158,2.536505766E-166,2.796655863012896E-158
G2H_SPD_D04_C12_E7eM15,BINARY64_OPERAND,SPD,4,12,7e-15,160,7.4489919492027848E-157,6.1201432495E-164,7.4489919492027848E-157
G2H_SPD_D04_C14_E7eM9,DECIMAL_SOURCE,SPD,4,14,7e-9,160,3.4249094886916E-161,9.490143136E-163,3.4249094886916E-161
G2H_SPD_D04_C14_E7eM9,BINARY64_OPERAND,SPD,4,14,7e-9,160,4.93446782175E-159,4.933169663E-163,4.93446782175E-159
G2H_SPD_D08_C00_E7eM17,DECIMAL_SOURCE,SPD,8,0,7e-17,160,2.28047024297280472964353361E-160,1.7546841267642063038E-181,2.28047024297280472964353361E-160
G2H_SPD_D08_C00_E7eM17,BINARY64_OPERAND,SPD,8,0,7e-17,160,2.729987347186860914628193398697764029550747800030743796214011692875207489568264456515420559889337394071089718653732924268670241506437503549362609722689184225096E-182,1.0710533662E-175,1.0710533662E-175
G2H_SPD_D08_C12_E7eM15,DECIMAL_SOURCE,SPD,8,12,7e-15,160,1.339147493327621E-157,2.0454492515E-166,1.339147493327621E-157
G2H_SPD_D08_C12_E7eM15,BINARY64_OPERAND,SPD,8,12,7e-15,160,8.65272605709295E-158,5.397460359E-165,8.65272605709295E-158
G2H_SPD_D08_C14_E7eM9,DECIMAL_SOURCE,SPD,8,14,7e-9,160,1.659528394128E-158,1.1075059829E-161,1.659528394128E-158
G2H_SPD_D08_C14_E7eM9,BINARY64_OPERAND,SPD,8,14,7e-9,160,3.54593182764937E-156,4.059471733E-162,3.54593182764937E-156
G2H_SPD_D16_C00_E7eM17,DECIMAL_SOURCE,SPD,16,0,7e-17,160,5.08238849994509532251490476E-160,2.456038079515296905E-181,5.08238849994509532251490476E-160
G2H_SPD_D16_C00_E7eM17,BINARY64_OPERAND,SPD,16,0,7e-17,160,5.648249683834884650954882893857442819760167862132573371477265571465946530141236806583628744598629091181564935145654326073110844496077593550405399426253484603647E-182,2.5355441589E-175,2.5355441589E-175
G2H_SPD_D16_C12_E7eM15,DECIMAL_SOURCE,SPD,16,12,7e-15,160,1.1072760481073335E-156,5.6511609957E-166,1.1072760481073335E-156
G2H_SPD_D16_C12_E7eM15,BINARY64_OPERAND,SPD,16,12,7e-15,160,5.551375698773325E-157,9.8401279896E-164,5.551375698773325E-157
G2H_SPD_D16_C14_E7eM9,DECIMAL_SOURCE,SPD,16,14,7e-9,160,4.14187649861E-159,5.050946868E-161,4.14187649861E-159
G2H_SPD_D16_C14_E7eM9,BINARY64_OPERAND,SPD,16,14,7e-9,160,1.37402099269884E-156,6.539949835E-162,1.37402099269884E-156
