system_id,lane,family,dimension,condition_exponent,epsilon,decimal_digits,delta_normalized_difference,U_response_normalized_difference,maximum_normalized_difference
G2H_NONSYMMETRIC_D16_C12_E7eM15,DECIMAL_SOURCE,NONSYMMETRIC,16,12,7e-15,160,1.931102887672462866470052697741291460825272839136675625905408480701007425802326262615454211876697739340619110147318091109985726000318701240390699140053804225124E-157,5.694968099276571676352397086893396555032536211323154437516356777171502160391234130105057984921851951048997702984952932958186383859582352320413099464925199836512E-160,1.931102887672462866470052697741291460825272839136675625905408480701007425802326262615454211876697739340619110147318091109985726000318701240390699140053804225124E-157
G2H_NONSYMMETRIC_D16_C12_E7eM15,BINARY64_OPERAND,NONSYMMETRIC,16,12,7e-15,160,2.381154598301299537040722667629978040400156158463818365793171121408305669415616640496730495719715013708329870695827560564871756532627879282712572045856770577989E-157,1.615754242513504350622618935294432680915003490252916548446113346281699118326065334654076117152347294498298450763649022149552690385851599231189188389772769624884E-159,2.381154598301299537040722667629978040400156158463818365793171121408305669415616640496730495719715013708329870695827560564871756532627879282712572045856770577989E-157
G2H_NONSYMMETRIC_D16_C14_E7eM9,DECIMAL_SOURCE,NONSYMMETRIC,16,14,7e-9,160,7.115977843724355745629187126605695963404186506268425755126215857400135720567961346497458711047522349411783875716705024903952929645772669574909461970118765545637E-160,1.279602004899322391011386369612387131081940943585140618708506389263160788198751421572056340384228718483535833493404787934879196112342457440173531984395113793997E-159,1.279602004899322391011386369612387131081940943585140618708506389263160788198751421572056340384228718483535833493404787934879196112342457440173531984395113793997E-159
G2H_NONSYMMETRIC_D16_C14_E7eM9,BINARY64_OPERAND,NONSYMMETRIC,16,14,7e-9,160,9.001615533669544677865415614041662941342993134884693735827283481454018280399645302805899575479535960037121145095272019830127827581862219839515273105165205859868E-160,1.160590618169318392830237454053692394897652789430851500658652176934096250560390223993472316224471234382890760423626878549928605041307019485638980460025971964945E-160,9.001615533669544677865415614041662941342993134884693735827283481454018280399645302805899575479535960037121145095272019830127827581862219839515273105165205859868E-160
G2H_SADDLE_POINT_LIKE_D02_C00_E7eM17,DECIMAL_SOURCE,SADDLE_POINT_LIKE,2,0,7e-17,160,1.359944953698071491357659241720616419141900563568207272495805494001123669716097284542890617660169454906579944511852054455044354703506521666790303892260827562540E-144,2.651731946025327104777911967915147208096516644236329438687484626287877725386648216581170823591056049166707264330598410291400071244631781200187815506019515383322E-151,1.359944953698071491357659241720616419141900563568207272495805494001123669716097284542890617660169454906579944511852054455044354703506521666790303892260827562540E-144
G2H_SADDLE_POINT_LIKE_D02_C00_E7eM17,BINARY64_OPERAND,SADDLE_POINT_LIKE,2,0,7e-17,160,6.340361484872728487845527319535277350301433384502548240169701292113080176152133932959498344545998907212550494466040457808636412992351447512405348971719276314215E-145,4.623559979842229917002166905348255046332776820428857127275918722703795990362868499795218635699471379906861362638195265511662842364543304840111410502016362048541E-160,6.340361484872728487845527319535277350301433384502548240169701292113080176152133932959498344545998907212550494466040457808636412992351447512405348971719276314215E-145
G2H_SADDLE_POINT_LIKE_D02_C12_E7eM15,DECIMAL_SOURCE,SADDLE_POINT_LIKE,2,12,7e-15,160,5.817651476870359505897149854883458920780836148076868592801479139828648273055739604491780975072920511903361792220137140988032743385800075060756743105600073318106E-154,2.314293675965050569740456028350520407588767367720898043438164974627187116720433927085787716317187824415988826348109523834147801235246735721744129635347562884157E-160,5.817651476870359505897149854883458920780836148076868592801479139828648273055739604491780975072920511903361792220137140988032743385800075060756743105600073318106E-154
G2H_SADDLE_POINT_LIKE_D02_C12_E7eM15,BINARY64_OPERAND,SADDLE_POINT_LIKE,2,12,7e-15,160,6.601566780182516632764021460122148034997534438885034066538369368762318786417635218316615431101118359894164525476493314139998353077889516362112979219844088123717E-154,4.971758232817072746310131265237786333414181304060618536655266002624350578462700489154287239984803105725090099968114954867405353884482656492451745038124442411900E-160,6.601566780182516632764021460122148034997534438885034066538369368762318786417635218316615431101118359894164525476493314139998353077889516362112979219844088123717E-154
G2H_SADDLE_POINT_LIKE_D02_C14_E7eM9,DECIMAL_SOURCE,SADDLE_POINT_LIKE,2,14,7e-9,160,8.333328789175344013424917755492025478697735222257692770494618118112313628363205182901772805800964380721585703413603436196132452476995090020216983169203467216078E-154,7.862252426182467534009344415356492060939586738712943447165364959230208430279189236101261843234998191626594459016842702659432980935839160381963231781511768275781E-160,8.333328789175344013424917755492025478697735222257692770494618118112313628363205182901772805800964380721585703413603436196132452476995090020216983169203467216078E-154
G2H_SADDLE_POINT_LIKE_D02_C14_E7eM9,BINARY64_OPERAND,SADDLE_POINT_LIKE,2,14,7e-9,160,1.457667578873928576643374700726573443981997411737174022659461914233051900513513869290272812780928737680483380691759622643257267649984876690187682493100428605190E-153,3.102302471937141847236735259099833833621866863243823608777130944045548984712837610244377651720769377490219167376025224735181153476036868910974419729414535471021E-160,1.457667578873928576643374700726573443981997411737174022659461914233051900513513869290272812780928737680483380691759622643257267649984876690187682493100428605190E-153
