system_id,family,dimension,condition_exponent,epsilon,seed,condition2_j,condition2_guarded,backward_error_j,backward_error_guarded,forward_bound_j,forward_bound_guarded,U_direct,relative_uncertainty,eta_stable_binary64,wp27_style_label,z_binary64_hex,zg_binary64_hex,delta_direct_hex,delta_stable_hex,finite
NONSYMMETRIC_D04_C04_E1eM16,NONSYMMETRIC,4,4,1e-16,16998951362946682503,10001.65914369886,10001.659143688856,1.5547587671357927e-18,4.858028162475479e-20,1.5550167239569912e-14,4.858834179152086e-16,2.7088449071620268e-14,2.047694275598449e-14,6.811302968529503e-13,OBSERVABLE,"[""0x1.cccccccccccccp-1"", ""0x1.999999999999ap-3"", ""-0x1.3333333333334p-2"", ""-0x1.ccccccccccccdp-1""]","[""0x1.ccccccccccd1dp-1"", ""0x1.99999999998f5p-3"", ""-0x1.3333333333076p-2"", ""-0x1.cccccccccad21p-1""]","[""0x1.4400000000000p-47"", ""-0x1.4a00000000000p-48"", ""0x1.5f00000000000p-45"", ""0x1.fac0000000000p-41""]","[""0x1.40bdb23d65ddap-47"", ""-0x1.49cdf6b6fe0b8p-48"", ""0x1.5f4e3f7f364fdp-45"", ""0x1.fabd5be0e96cdp-41""]",True
NONSYMMETRIC_D04_C04_E1eM15,NONSYMMETRIC,4,4,1e-15,2743148052703666507,10002.175294372099,10002.175294272085,1.890356747613124e-20,1.890356747613846e-20,1.8907679558525585e-16,1.8907679558343745e-16,4.0029999922286454e-15,4.8190456896677295e-15,2.4164268243895195e-12,OBSERVABLE,"[""-0x1.3333333333333p-1"", ""0x1.0000000000000p-1"", ""-0x1.9999999999998p-3"", ""0x1.999999999999ap-3""]","[""-0x1.3333333333289p-1"", ""0x1.ffffffffffed5p-2"", ""-0x1.9999999998048p-3"", ""0x1.9999999988044p-3""]","[""0x1.5400000000000p-46"", ""-0x1.2b00000000000p-46"", ""0x1.9500000000000p-43"", ""-0x1.1956000000000p-39""]","[""0x1.51ed4947d7960p-46"", ""-0x1.2a772034caafbp-46"", ""0x1.94ec85c39b691p-43"", ""-0x1.1955d2238c6b4p-39""]",True
NONSYMMETRIC_D04_C04_E1eM14,NONSYMMETRIC,4,4,1e-14,2857822919957945087,10001.004976059396,10001.004975059435,4.319419147600475e-20,0.0,4.31985323888386e-16,0.0,4.303608812422186e-15,4.872877422247938e-15,7.933374726919587e-11,OBSERVABLE,"[""-0x1.9999999999999p-2"", ""0x1.9999999999999p-3"", ""0x1.3333333333333p-2"", ""0x1.6666666666668p-1""]","[""-0x1.999999999cb7dp-2"", ""0x1.999999999c31dp-3"", ""0x1.3333333325fd9p-2"", ""0x1.66666665cc798p-1""]","[""-0x1.8f20000000000p-41"", ""0x1.4c20000000000p-42"", ""-0x1.a6b4000000000p-39"", ""-0x1.33da000000000p-34""]","[""-0x1.8f169dd76e8dep-41"", ""0x1.4c204ff49d546p-42"", ""-0x1.a6b6196d767c9p-39"", ""-0x1.33d9ac15e1f44p-34""]",True
NONSYMMETRIC_D04_C04_E1eM12,NONSYMMETRIC,4,4,1e-12,17837994687134994903,10001.153761281063,10001.153661274486,2.314248338385506e-20,1.1757452783406124e-17,2.314515347398266e-16,1.1758809195203789e-13,1.179036942103422e-13,1.2226043552639217e-13,2.0865822627383005e-09,OBSERVABLE,"[""-0x1.999999999999ap-3"", ""-0x1.ccccccccccccdp-1"", ""-0x1.9999999999998p-3"", ""-0x1.9999999999999p-3""]","[""-0x1.9999999985ec2p-3"", ""-0x1.cccccccca53bfp-1"", ""-0x1.99999992b964bp-3"", ""-0x1.99999954ce53ep-3""]","[""0x1.3ad8000000000p-39"", ""0x1.3c87000000000p-36"", ""0x1.b80d340000000p-33"", ""0x1.132d16c000000p-29""]","[""0x1.3ad85061e6b43p-39"", ""0x1.3c8686221d7e9p-36"", ""0x1.b80d3a7b93dd6p-33"", ""0x1.132d16b4ae0f1p-29""]",True
NONSYMMETRIC_D04_C04_E1eM8,NONSYMMETRIC,4,4,1e-8,5436785454807911297,10000.693461680632,9999.693637468674,4.770467310594766e-18,4.772487356410175e-18,4.770798124222855e-14,4.7723411452796796e-14,6.236813751054946e-14,9.98689471582609e-14,8.0225626688427e-05,OBSERVABLE,"[""-0x1.999999999999ap-4"", ""0x1.9999999999998p-3"", ""-0x1.3333333333333p-2"", ""0x1.fffffffffffffp-2""]","[""-0x1.9999dbdeabbd2p-4"", ""0x1.999977d2631abp-3"", ""-0x1.3332489690006p-2"", ""0x1.fff2e610b4684p-2""]","[""-0x1.0914488e00000p-22"", ""-0x1.0e39b3f680000p-22"", ""0x1.d5394665a0000p-19"", ""-0x1.a33de972f6000p-15""]","[""-0x1.0914488dc37f1p-22"", ""-0x1.0e39b3f767fa2p-22"", ""0x1.d5394665cffb9p-19"", ""-0x1.a33de972f5524p-15""]",True
NONSYMMETRIC_D04_C06_E1eM16,NONSYMMETRIC,4,6,1e-16,4027718303732651449,1000017.011036831,1000017.0109368293,2.590284229724404e-23,1.697568672799697e-18,2.5903282931448385e-17,1.6975975500360352e-12,1.5692257901672602e-12,1.702064345409131e-12,2.1692975175600757e-11,OBSERVABLE,"[""0x1.9999999999999p-4"", ""-0x1.999999999999ap-1"", ""0x1.999999999999ap-2"", ""0x1.999999999999bp-3""]","[""0x1.9999999999a26p-4"", ""-0x1.999999999992ep-1"", ""0x1.9999999997d72p-2"", ""0x1.99999998e9b6cp-3""]","[""0x1.1a00000000000p-49"", ""0x1.b000000000000p-47"", ""-0x1.c280000000000p-42"", ""-0x1.5fc5e00000000p-36""]","[""0x1.19a4cd64c0f78p-49"", ""0x1.afcce37cbaf88p-47"", ""-0x1.c26a9b253abbdp-42"", ""-0x1.5fc5a978c6dbep-36""]",True
NONSYMMETRIC_D04_C06_E1eM15,NONSYMMETRIC,4,6,1e-15,6259528144622250697,1000163.691128629,1000163.6901284669,6.663423661868702e-21,3.331711831046123e-21,6.664514405208491e-15,3.332257199383773e-15,1.9099233835204992e-14,1.4437663702806512e-14,2.2686058840950546e-10,OBSERVABLE,"[""-0x1.6666666666666p-1"", ""0x1.ccccccccccccdp-1"", ""0x1.3333333333332p-1"", ""-0x1.3333333333334p-2""]","[""-0x1.666666666d1f3p-1"", ""0x1.cccccccccfc12p-1"", ""0x1.3333333326065p-1"", ""-0x1.3333332e0ba79p-2""]","[""-0x1.ae34000000000p-39"", ""0x1.7a28000000000p-40"", ""-0x1.a59a000000000p-38"", ""0x1.49e2ec0000000p-32""]","[""-0x1.ae35cb947f698p-39"", ""0x1.7a2a25f1d9e38p-40"", ""-0x1.a59c11ba9096ep-38"", ""0x1.49e2ecd4c5daap-32""]",True
NONSYMMETRIC_D04_C06_E1eM14,NONSYMMETRIC,4,6,1e-14,15033861791882528176,1000213.7619872483,1000213.7519846169,7.392285563831717e-19,1.4784578193261257e-18,7.393865753489616e-13,1.4787738426213657e-12,3.197766424269192e-12,2.2226013074929257e-12,4.17091786663775e-09,OBSERVABLE,"[""0x1.ccccccccccccdp-1"", ""-0x1.ccccccccccccdp-1"", ""-0x1.3333333333333p-2"", ""0x1.3333333333333p-1""]","[""0x1.cccccccd50fe8p-1"", ""-0x1.cccccccc47efcp-1"", ""-0x1.3333333334875p-2"", ""0x1.333332ffa8665p-1""]","[""0x1.0863600000000p-34"", ""0x1.09ba200000000p-34"", ""-0x1.5420000000000p-42"", ""-0x1.9c56670000000p-28""]","[""0x1.08634be394db6p-34"", ""0x1.09b9d203401a3p-34"", ""-0x1.541bb4c0598dap-42"", ""-0x1.9c566728f0aaep-28""]",True
NONSYMMETRIC_D04_C06_E1eM12,NONSYMMETRIC,4,6,1e-12,7160601096719745367,1000305.298913067,1000304.2984596591,2.671708318261066e-21,1.3679068444587685e-18,2.6725239879066704e-15,1.3683230964063667e-12,1.3406096660963025e-12,1.3754364960109133e-12,1.0266711959336687e-07,OBSERVABLE,"[""-0x1.3333333333333p-2"", ""0x1.cccccccccccccp-1"", ""0x1.9999999999998p-3"", ""0x1.9999999999999p-4""]","[""-0x1.3333333ba34bfp-2"", ""0x1.ccccccc388ebdp-1"", ""0x1.99999932998cep-3"", ""0x1.99997ec09499ep-4""]","[""-0x1.0e03180000000p-31"", ""-0x1.287c1e0000000p-30"", ""-0x1.9c00328000000p-29"", ""-0x1.ad904ffb00000p-24""]","[""-0x1.0e0318cc2a5e1p-31"", ""-0x1.287c1da3b8e4ep-30"", ""-0x1.9c0033010092cp-29"", ""-0x1.ad904ffc59db3p-24""]",True
NONSYMMETRIC_D04_C06_E1eM8,NONSYMMETRIC,4,6,1e-8,3683492680444792933,1000303.7633749404,990398.2878956093,1.0492356939231139e-19,1.0496348836146705e-19,1.049554413298718e-13,1.0395565916475848e-13,2.680958477835029e-13,2.132856045614335e-13,0.0023657772859081343,OBSERVABLE,"[""-0x1.9999999999999p-1"", ""-0x1.9999999999999p-3"", ""-0x1.ccccccccccccdp-1"", ""0x1.3333333333333p-2""]","[""-0x1.9999be6bdee08p-1"", ""-0x1.99a91462a62afp-3"", ""-0x1.ccbd269c4d8d4p-1"", ""0x1.302851edafffdp-2""]","[""-0x1.26922a3780000p-20"", ""-0x1.ef5921922c000p-16"", ""0x1.f4c60fe7f2000p-14"", ""-0x1.8570a2c199b00p-9""]","[""-0x1.26922a370e068p-20"", ""-0x1.ef5921922b221p-16"", ""0x1.f4c60fe7f2a84p-14"", ""-0x1.8570a2c199b59p-9""]",True
